CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
12346,326,1,77183.6,1,1,5,115,Others
12347,2,7,4310.0,5,5,5,555,Champions
12348,75,4,1797.24,3,4,4,344,Loyal Customers
12349,19,1,1757.55,4,1,4,414,Others
12350,310,1,334.40000000000003,1,1,2,112,Hibernating
12352,36,8,2506.04,3,5,4,354,Loyal Customers
12353,204,1,89.0,1,1,1,111,Hibernating
12354,232,1,1079.4,1,1,3,113,Others
12355,214,1,459.4,1,1,3,113,Others
12356,23,3,2811.43,4,4,4,444,Champions
12357,33,1,6207.67,4,1,5,415,Others
12358,2,2,1168.06,5,3,4,534,Potential Loyalists
12359,58,4,6372.58,3,4,5,345,Loyal Customers
12360,52,3,2662.06,3,4,4,344,Loyal Customers
12361,287,1,189.9,1,1,2,112,Hibernating
12362,3,10,5226.2300000000005,5,5,5,555,Champions
12363,110,2,552.0,2,3,3,233,At Risk
12364,8,4,1313.1,5,4,4,544,Champions
12365,291,2,641.38,1,3,3,133,At Risk
12367,4,1,168.9,5,1,2,512,Others
12370,51,4,3545.69,3,4,5,345,Loyal Customers
12371,45,2,1887.96,3,3,4,334,Others
12372,72,3,1298.04,3,4,4,344,Loyal Customers
12373,311,1,364.6,1,1,3,113,Others
12374,25,1,742.9300000000001,4,1,3,413,Others
12375,11,2,457.5,5,3,3,533,Potential Loyalists
12377,315,2,1628.12,1,3,4,134,At Risk
12378,130,1,4008.62,2,1,5,215,Others
12379,82,2,852.24,3,3,3,333,Others
12380,22,4,2724.81,4,4,4,444,Champions
12381,5,5,1845.31,5,4,4,544,Champions
12383,185,5,1850.56,1,4,4,144,At Risk
12384,29,2,585.27,4,3,3,433,Potential Loyalists
12386,338,2,401.9,1,3,3,133,At Risk
12388,16,6,2780.6600000000003,4,4,4,444,Champions
12390,80,1,549.84,3,1,3,313,Others
12391,22,1,460.89,4,1,3,413,Others
12393,72,4,1582.6,3,4,4,344,Loyal Customers
12394,64,2,1272.48,3,3,4,334,Others
12395,19,12,3018.63,4,5,5,455,Champions
12397,36,2,2409.9,3,3,4,334,Others
12398,46,1,1635.66,3,1,4,314,Others
12399,119,4,1108.65,2,4,3,243,At Risk
12401,303,1,84.3,1,1,1,111,Hibernating
12402,323,1,225.6,1,1,2,112,Hibernating
12403,50,1,427.7,3,1,3,313,Others
