CustomerID,Recency,Frequency,Monetary
12347,2,7,4310.0
12348,75,4,1437.24
12349,19,1,1457.55
12350,310,1,294.4
12352,36,7,1265.41
12353,204,1,89.0
12354,232,1,1079.4
12355,214,1,459.4
12356,23,3,2487.43
12357,33,1,6207.67
12358,2,2,928.06
12359,58,4,6182.98
12360,52,3,2302.06
12361,287,1,174.9
12362,3,10,4665.58
12363,110,2,552.0
12364,8,4,1208.1
12365,291,1,320.69
12367,4,1,150.9
12370,51,4,3421.94
12371,60,1,1527.96
12372,72,3,1196.04
12373,311,1,324.6
12374,25,1,622.93
12375,11,2,375.42
12377,315,2,1548.12
12378,130,1,4008.62
12379,82,2,775.29
12380,22,4,2423.56
12381,5,3,1433.46
12383,185,5,1617.31
12384,29,2,406.16
12386,338,2,401.9
12388,16,6,2780.66
12390,80,1,504.84
12391,22,1,439.66
12393,72,4,1582.6
12394,64,2,1080.48
12395,19,12,2662.28
12397,36,2,2214.9
12398,46,1,1435.66
12399,119,4,1033.65
12401,303,1,69.3
12402,323,1,195.6
12403,50,1,391.7
12405,149,1,1390.39
12406,22,2,3280.75
12407,50,5,1507.12
12408,33,5,2587.57
12409,79,3,11056.93
12410,309,2,521.08
12412,75,3,1142.88
12413,67,3,676.15
12414,217,3,442.41
12415,24,20,123638.18
12417,3,9,3155.8
12418,113,1,668.58
12420,64,1,600.39
12421,16,4,639.04
12422,96,3,683.56
12423,1,8,1624.11
12424,163,2,1760.96
12425,78,1,777.2
12426,195,1,510.73
12427,22,3,582.37
12428,26,8,6366.0
12429,9,4,3388.4
12430,43,1,216.4
12431,36,15,6243.89
12432,43,4,4359.32
12433,1,7,13375.87
12434,85,2,765.19
12435,80,2,7829.89
12436,100,1,429.01
12437,2,18,4392.66
12438,14,2,2466.85
12441,367,1,155.55
12442,3,1,144.06
12444,21,5,4085.46
12445,22,1,77.4
12446,58,1,1002.31
12447,243,1,431.49
12448,44,1,365.45
12449,22,4,3596.29
12450,156,2,197.88
12451,11,5,8893.52
12452,17,1,348.57
12453,134,1,707.09
12455,73,5,2339.86
12456,44,3,2553.89
12457,66,6,1597.78
12458,71,2,787.4
12461,155,1,626.88
12462,19,2,872.01
12463,53,4,1165.63
12464,10,8,957.05
12465,17,2,673.89
12468,188,2,652.04
12471,2,27,16323.52
12472,32,7,5725.48
12473,54,3,2545.27
12474,17,18,6434.77
12475,54,1,669.38
12476,16,11,5628.58
12477,23,6,13117.01
12478,4,1,545.99
12479,11,1,423.3
12480,28,4,2885.63
12481,23,10,4998.36
12483,17,8,1873.13
12484,35,4,3892.87
12488,10,3,1244.66
12489,336,1,298.93
12490,5,10,4859.93
12491,39,1,424.4
12492,63,2,227.21
12493,166,2,362.79
12494,16,7,995.35
12497,82,1,953.1
12498,21,3,349.7
12500,23,11,4026.27
12501,337,1,1945.68
12502,96,5,2995.87
12504,18,2,60.0
12506,233,1,73.5
12507,134,3,1006.06
12508,26,2,397.88
12509,284,1,158.5
12510,143,2,814.57
12512,66,2,132.18
12513,113,1,532.79
12514,267,1,1017.68
12515,353,1,278.7
12516,78,2,1186.06
12517,28,4,2263.65
12518,1,5,1840.89
12519,64,1,276.84
12520,79,5,2294.51
12521,143,1,545.68
12522,39,2,156.72
12523,19,11,1655.57
12524,9,8,3945.72
12526,1,3,1172.66
12527,82,3,330.71
12528,9,6,1634.28
12530,60,4,1461.63
12531,15,1,125.22
12532,30,1,313.83
12534,131,1,981.18
12535,92,2,716.35
12536,59,1,4151.26
12538,29,1,363.95
12539,22,4,5568.35
12540,20,17,11489.04
12541,30,3,841.18
12544,36,1,299.7
12545,75,2,832.39
12546,47,2,1001.5
12547,198,2,151.8
12548,166,1,67.2
12550,79,1,824.83
12551,358,1,168.0
12552,40,1,317.82
12553,8,10,3238.25
12556,50,2,599.56
12557,16,5,11990.96
12559,311,2,500.21
12560,5,2,1885.39
12561,303,1,238.85
12562,8,7,3385.74
12564,261,1,402.9
12565,289,1,131.17
12566,86,1,292.7
12567,23,10,8322.94
12569,2,32,3128.99
12571,40,2,519.61
12572,9,2,896.72
12573,227,1,160.54
12574,316,1,182.45
12576,36,5,1306.98
12577,35,3,560.25
12578,21,2,2361.36
12579,78,1,374.72
12580,247,1,379.7
12581,40,1,179.71
12582,239,2,351.36
12583,3,15,6629.34
12584,4,9,1809.95
12585,234,2,1766.81
12586,17,1,179.94
12587,8,1,104.0
12588,39,1,174.9
12589,29,2,574.68
12590,211,1,9338.38
12591,317,1,368.85
12592,92,2,401.6
12593,109,3,382.1
12594,38,9,3208.22
12596,51,2,450.27
12597,19,4,3067.13
12598,10,7,2786.68
12599,29,7,888.58
12600,29,10,2311.04
12601,190,5,479.56
12602,59,1,153.12
12603,22,1,613.2
12604,79,2,236.18
12609,78,3,964.85
12610,23,4,1705.99
12611,52,1,1193.32
12612,74,1,607.59
12613,57,4,2966.98
12614,278,1,315.6
12615,2,4,2093.19
12616,95,2,585.25
12617,29,1,352.98
12618,22,1,137.31
12619,16,8,2908.81
12620,15,3,1303.41
12621,2,20,12334.07
12622,232,1,162.1
12623,276,1,269.1
12624,106,2,569.13
12625,212,2,2362.32
12626,23,9,5722.35
12627,11,6,4082.53
12628,4,3,715.61
12630,10,2,1030.88
12631,57,1,480.5
12633,59,4,1906.63
12635,90,2,1509.18
12637,67,8,5790.25
12638,33,1,511.69
12639,239,1,366.1
12640,24,3,994.58
12641,115,1,145.9
12642,25,3,905.26
12643,128,6,3041.64
12644,130,1,477.91
12645,34,4,1611.38
12646,5,2,1346.97
12647,22,12,3093.92
