CustomerID,Recency,Frequency,Monetary
12346,326,1,77183.6
12347,2,7,4310.0
12348,75,4,1797.24
12349,19,1,1757.55
12350,310,1,334.40000000000003
12352,36,8,2506.04
12353,204,1,89.0
12354,232,1,1079.4
12355,214,1,459.4
12356,23,3,2811.43
12357,33,1,6207.67
12358,2,2,1168.06
12359,58,4,6372.58
12360,52,3,2662.06
12361,287,1,189.9
12362,3,10,5226.2300000000005
12363,110,2,552.0
12364,8,4,1313.1
12365,291,2,641.38
12367,4,1,168.9
12370,51,4,3545.69
12371,45,2,1887.96
12372,72,3,1298.04
12373,311,1,364.6
12374,25,1,742.9300000000001
12375,11,2,457.5
12377,315,2,1628.12
12378,130,1,4008.62
12379,82,2,852.24
12380,22,4,2724.81
12381,5,5,1845.31
12383,185,5,1850.56
12384,29,2,585.27
12386,338,2,401.9
12388,16,6,2780.6600000000003
12390,80,1,549.84
12391,22,1,460.89
12393,72,4,1582.6
12394,64,2,1272.48
12395,19,12,3018.63
12397,36,2,2409.9
12398,46,1,1635.66
12399,119,4,1108.65
12401,303,1,84.3
12402,323,1,225.6
12403,50,1,427.7
12405,149,1,1710.39
12406,22,2,3415.3
12407,50,5,1708.12
12408,33,5,2888.55
12409,79,3,11072.67
12410,309,2,693.33
12412,75,3,1226.88
12413,67,3,758.1
12414,217,3,562.4100000000001
12415,24,21,124914.53
12417,3,9,3649.1
12418,113,1,668.58
12420,64,1,600.39
12421,16,4,807.04
12422,96,3,803.5600000000001
12423,1,8,1859.31
12424,163,2,1760.96
12425,78,1,777.2
12426,195,1,582.73
12427,22,3,825.8000000000001
12428,26,9,7956.46
12429,9,4,3750.4
12430,43,1,256.4
12431,36,15,6487.45
12432,43,5,5059.32
12433,1,7,13375.87
12434,85,2,806.14
12435,80,2,7829.89
12436,100,1,509.01
12437,2,18,4951.41
12438,14,2,2906.85
12441,367,1,173.55
12442,3,1,172.06
12444,21,5,5005.46
12445,22,1,133.4
12446,58,1,1002.31
12447,243,1,476.49
12448,44,1,449.45
12449,22,4,4067.29
12450,156,2,197.88
12451,11,5,9035.52
12452,17,2,430.5700000000001
12453,134,1,707.09
12454,56,1,3528.34
12455,73,6,2466.86
12456,44,3,3181.04
12457,66,7,2363.23
12458,71,2,947.4
12461,94,2,826.88
12462,19,2,1189.59
12463,53,4,1344.78
12464,10,8,1212.05
12465,17,2,742.19
12468,188,2,729.54
12471,2,30,19824.05
12472,32,7,6572.11
12473,29,5,3938.55
12474,17,18,7375.79
12475,54,1,723.38
12476,16,11,6816.42
12477,23,6,13219.74
12478,4,1,680.99
12479,11,1,527.2
12480,28,4,3281.63
12481,23,10,5596.32
12483,17,8,2484.98
12484,33,6,4541.72
12488,10,3,1298.66
12489,336,1,334.93
12490,5,10,5417.93
12491,39,1,460.4
12492,63,2,263.21000000000004
12493,166,2,433.74
12494,16,7,1246.1
12497,82,1,1043.1
12498,21,3,403.7000000000001
12500,23,11,4257.82
12501,337,1,2169.39
12502,96,5,3723.87
12504,18,2,482.05
12506,233,1,73.5
12507,134,3,1304.81
12508,26,2,398.27
12509,284,1,176.5
12510,143,2,982.57
12512,66,2,138.03
12513,113,1,612.29
12514,267,1,1017.68
12515,353,1,383.7
12516,78,2,1312.06
12517,28,5,2502.84
12518,1,5,2056.89
12519,64,1,340.84000000000003
12520,79,5,2634.26
12521,143,1,599.68
12522,39,2,192.72
12523,19,11,1789.77
12524,9,8,4485.72
12526,1,3,1316.66
12527,82,3,348.71000000000004
12528,9,6,1933.48
12530,60,4,1662.28
12531,15,1,125.22
12532,30,1,349.83000000000004
12534,131,1,1089.18
12535,92,2,716.35
12536,43,3,12601.830000000002
12538,29,1,363.95
12539,22,4,5568.35
12540,20,17,13400.24
12541,30,3,981.18
12544,36,1,372.7
12545,75,2,1000.39
12546,47,2,1161.5
12547,198,2,207.8
12548,166,1,95.2
12550,79,1,964.83
12551,358,1,168.0
12552,39,2,437.82
12553,8,10,3692.28
12556,50,2,603.71
12557,16,5,11990.96
12558,8,1,269.96
12559,311,2,561.71
12560,5,3,2134.01
12561,303,1,238.85
12562,8,7,3781.74
12564,261,1,456.9
12565,289,1,145.92000000000002
12566,86,1,351.65
12567,23,10,9401.28
12569,2,32,4124.6900000000005
12571,40,2,519.61
12572,9,2,1020.42
12573,227,1,160.54000000000002
12574,316,1,218.45
