CustomerID,Recency,Frequency,Monetary,Segment
12346,326,1,77183.6,Others
12347,2,7,4310.0,Champions
12348,75,4,1797.24,At Risk
12349,19,1,1757.55,Others
12350,310,1,334.40000000000003,Hibernating
12352,36,8,2506.04,Loyal Customers
12353,204,1,89.0,Hibernating
12354,232,1,1079.4,Others
12355,214,1,459.4,Hibernating
12356,23,3,2811.43,Potential Loyalists
12357,33,1,6207.67,Others
12358,2,2,1168.06,Potential Loyalists
12359,58,4,6372.58,Loyal Customers
12360,52,3,2662.06,Others
12361,287,1,189.9,Hibernating
12362,3,10,5226.2300000000005,Champions
12363,110,2,552.0,Others
12364,8,4,1313.1,Champions
12365,291,2,641.38,Others
12367,4,1,168.9,Others
12370,51,4,3545.69,Loyal Customers
12371,45,2,1887.96,Others
12372,72,3,1298.04,Others
12373,311,1,364.6,Hibernating
12374,25,1,742.9300000000001,Others
12375,11,2,457.5,Potential Loyalists
12377,315,2,1628.12,Others
12378,130,1,4008.62,Others
12379,82,2,852.24,Others
12380,22,4,2724.81,Champions
12381,5,5,1845.31,Champions
12383,185,5,1850.56,At Risk
12384,29,2,585.27,Potential Loyalists
12386,338,2,401.9,Hibernating
12388,16,6,2780.6600000000003,Champions
12390,80,1,549.84,Others
12391,22,1,460.89,Others
12393,72,4,1582.6,Loyal Customers
12394,64,2,1272.48,Others
12395,19,12,3018.63,Champions
12397,36,2,2409.9,Others
12398,46,1,1635.66,Others
12399,119,4,1108.65,At Risk
12401,303,1,84.3,Hibernating
12402,323,1,225.6,Hibernating
12403,50,1,427.7,Others
12405,149,1,1710.39,Others
12406,22,2,3415.3,Potential Loyalists
12407,50,5,1708.12,Loyal Customers
12408,33,5,2888.55,Champions
12409,79,3,11072.67,At Risk
12410,309,2,693.33,Others
12412,75,3,1226.88,At Risk
12413,67,3,758.1,Others
12414,217,3,562.4100000000001,At Risk
12415,24,21,124914.53,Champions
12417,3,9,3649.1,Champions
12418,113,1,668.58,Others
12420,64,1,600.39,Others
12421,16,4,807.04,Loyal Customers
12422,96,3,803.5600000000001,At Risk
12423,1,8,1859.31,Champions
12424,163,2,1760.96,Others
12425,78,1,777.2,Others
12426,195,1,582.73,Others
12427,22,3,825.8000000000001,Potential Loyalists
12428,26,9,7956.46,Champions
12429,9,4,3750.4,Champions
12430,43,1,256.4,Others
12431,36,15,6487.45,Loyal Customers
12432,43,5,5059.32,Loyal Customers
12433,1,7,13375.87,Champions
12434,85,2,806.14,Others
12435,80,2,7829.89,Others
12436,100,1,509.01,Others
12437,2,18,4951.41,Champions
12438,14,2,2906.85,Potential Loyalists
12441,367,1,173.55,Hibernating
12442,3,1,172.06,Others
12444,21,5,5005.46,Champions
12445,22,1,133.4,Others
12446,58,1,1002.31,Others
12447,243,1,476.49,Hibernating
12448,44,1,449.45,Others
12449,22,4,4067.29,Champions
12450,156,2,197.88,Hibernating
12451,11,5,9035.52,Champions
12452,17,2,430.5700000000001,Potential Loyalists
12453,134,1,707.09,Others
12454,56,1,3528.34,Others
12455,73,6,2466.86,At Risk
12456,44,3,3181.04,Others
12457,66,7,2363.23,Loyal Customers
12458,71,2,947.4,Others
12461,94,2,826.88,Others
12462,19,2,1189.59,Potential Loyalists
12463,53,4,1344.78,Loyal Customers
12464,10,8,1212.05,Champions
12465,17,2,742.19,Potential Loyalists
12468,188,2,729.54,Others
12471,2,30,19824.05,Champions
12472,32,7,6572.11,Champions
12473,29,5,3938.55,Champions
12474,17,18,7375.79,Champions
12475,54,1,723.38,Others
12476,16,11,6816.42,Champions
12477,23,6,13219.74,Champions
12478,4,1,680.99,Others
12479,11,1,527.2,Others
12480,28,4,3281.63,Champions
12481,23,10,5596.32,Champions
12483,17,8,2484.98,Champions
12484,33,6,4541.72,Champions
12488,10,3,1298.66,Potential Loyalists
12489,336,1,334.93,Hibernating
12490,5,10,5417.93,Champions
12491,39,1,460.4,Others
12492,63,2,263.21000000000004,Others
12493,166,2,433.74,Hibernating
12494,16,7,1246.1,Champions
12497,82,1,1043.1,Others
12498,21,3,403.7000000000001,Potential Loyalists
12500,23,11,4257.82,Champions
12501,337,1,2169.39,Others
12502,96,5,3723.87,At Risk
12504,18,2,482.05,Potential Loyalists
12506,233,1,73.5,Hibernating
12507,134,3,1304.81,At Risk
12508,26,2,398.27,Potential Loyalists
12509,284,1,176.5,Hibernating
12510,143,2,982.57,Others
12512,66,2,138.03,Others
12513,113,1,612.29,Others
12514,267,1,1017.68,Others
12515,353,1,383.7,Hibernating
12516,78,2,1312.06,Others
12517,28,5,2502.84,Champions
12518,1,5,2056.89,Champions
12519,64,1,340.84000000000003,Others
12520,79,5,2634.26,At Risk
12521,143,1,599.68,Others
12522,39,2,192.72,Others
12523,19,11,1789.77,Champions
12524,9,8,4485.72,Champions
12526,1,3,1316.66,Potential Loyalists
12527,82,3,348.71000000000004,Others
12528,9,6,1933.48,Champions
12530,60,4,1662.28,Loyal Customers
12531,15,1,125.22,Others
12532,30,1,349.83000000000004,Others
12534,131,1,1089.18,Others
12535,92,2,716.35,Others
12536,43,3,12601.830000000002,Others
12538,29,1,363.95,Others
12539,22,4,5568.35,Champions
12540,20,17,13400.24,Champions
12541,30,3,981.18,Potential Loyalists
12544,36,1,372.7,Others
12545,75,2,1000.39,Others
12546,47,2,1161.5,Others
12547,198,2,207.8,Hibernating
12548,166,1,95.2,Hibernating
12550,79,1,964.83,Others
12551,358,1,168.0,Hibernating
12552,39,2,437.82,Others
12553,8,10,3692.28,Champions
12556,50,2,603.71,Others
12557,16,5,11990.96,Champions
12558,8,1,269.96,Others
12559,311,2,561.71,Others
12560,5,3,2134.01,Potential Loyalists
12561,303,1,238.85,Hibernating
12562,8,7,3781.74,Champions
12564,261,1,456.9,Hibernating
12565,289,1,145.92000000000002,Hibernating
12566,86,1,351.65,Hibernating
12567,23,10,9401.28,Champions
12569,2,32,4124.6900000000005,Champions
12571,40,2,519.61,Others
12572,9,2,1020.42,Potential Loyalists
12573,227,1,160.54000000000002,Hibernating
12574,316,1,218.45,Hibernating
12576,36,5,1315.83,Loyal Customers
12577,35,3,657.8,Others
12578,21,2,2794.51,Potential Loyalists
12579,78,1,440.42,Hibernating
12580,247,1,415.7,Hibernating
12581,40,1,197.71,Others
12582,239,2,511.36,Others
12583,3,15,7281.38,Champions
12584,4,9,2338.15,Champions
12585,234,2,2040.1,Others
12586,17,1,196.94000000000003,Others
12587,8,1,144.0,Others
12588,39,1,214.9,Others
12589,29,2,646.68,Potential Loyalists
12590,211,2,9864.26,Others
12591,317,1,452.85,Hibernating
12592,92,2,437.6,Hibernating
12593,109,3,418.1,Others
12594,38,10,3338.2200000000003,Loyal Customers
12596,51,2,618.27,Others
12597,19,4,3811.22,Champions
